City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
212,Auki,SB,76.5,scattered clouds,-8.7676,160.7034,Auki Motel
213,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
215,Pedernales,DO,86.16,overcast clouds,18.0384,-71.744,Hotel Costa Marina
220,Mangrol,IN,79.66,clear sky,21.1167,70.1167,Hotel The Royal Honours
225,Kanigoro,ID,75.6,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
227,Isabela,PH,78.87,overcast clouds,6.7085,121.9711,Isawad Resort
228,Harper,LR,77.97,overcast clouds,4.375,-7.7169,Screensaver
237,Columbia,US,81.66,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
238,Bengkulu,ID,75.31,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
240,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
249,Salinopolis,BR,85.05,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
250,Alamos,MX,87.49,clear sky,27.0167,-108.9333,Luz del Sol
256,Saint Pete Beach,US,86.25,moderate rain,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
259,Tecoanapa,MX,85.14,overcast clouds,16.5167,-98.75,Hotel Manglares
260,Sao Filipe,CV,80.58,few clouds,14.8961,-24.4956,Hotel Xaguate
263,Vadakku Valliyur,IN,78.22,overcast clouds,8.3833,77.65,Panimadha lodge
264,Pochutla,MX,87.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
275,Portobelo,PA,87.06,overcast clouds,9.55,-79.65,Scuba Portobelo
288,Luwuk,ID,76.96,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
294,Jalu,LY,78.53,broken clouds,29.0331,21.5482,صاحبة الفخامة
296,Kupang,ID,78.91,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
297,Santa Isabel Do Rio Negro,BR,87.24,overcast clouds,-0.4139,-65.0192,Hotel GSA
301,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
302,Karratha,AU,76.03,clear sky,-20.7377,116.8463,ibis Styles Karratha
309,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
315,Liku,ID,75.97,overcast clouds,-0.7275,119.8922,Wahyu
317,Rawson,AR,80.89,dust,-43.3002,-65.1023,Hosteria Sampedro
319,Jaumave,MX,78.08,overcast clouds,23.4167,-99.3833,HOTEL CIENEGA
320,Tual,ID,81.18,light rain,-5.6667,132.75,Grand Vilia Hotel
321,Kontagora,NG,77.2,few clouds,10.3999,5.4695,Queens Guest Inn
327,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
331,Gweta,BW,83.07,overcast clouds,-20.1833,25.2333,Gweta Lodge
337,Mafinga,TZ,81.37,clear sky,-7.25,35.0667,
339,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
341,Mayumba,GA,76.98,overcast clouds,-3.432,10.6554,LIKWALE LODGE
346,Basco,PH,79.95,clear sky,20.4487,121.9702,Nathaniel's Lodge
348,Dwarka,IN,80.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
364,Luanda,AO,77.0,clear sky,-8.8368,13.2343,Hotel Fórum
372,Avera,US,80.47,broken clouds,33.194,-82.5271,
380,Labelle,US,86.02,overcast clouds,26.7617,-81.4384,Port LaBelle Inn
382,Athni,IN,75.78,broken clouds,16.7333,75.0667,Basawasri Lodge
388,Tabou,CI,77.68,overcast clouds,4.423,-7.3528,hotêl doufoulougou
389,Oriximina,BR,89.62,very heavy rain,-1.7656,-55.8661,Pousada Tia Amélia
392,El Vigia,VE,85.75,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
394,Manggar,ID,79.07,scattered clouds,-2.8833,108.2667,Guest Hotel
399,Calvillo,MX,77.94,clear sky,21.85,-102.7167,Hotel La Gloria de Calvillo
